"TOA5","Compass_PTR_UP_313","CR1000X","28734","CR1000X.Std.05.01","CPU:COMPASS_v3.CR1X","60334","WaterLevel600A"
"TIMESTAMP","RECORD","PB","Statname","Aquatroll_IDA(1)","Barometric_Pressure600A","Temperature600A","Actual_Conductivity600A","Specific_Conductivity600A","Salinity600A","TDS600A","Water_Density600A","Resistivity600A","pH600A","pH_mV600A","pH_ORP600A","RDO_concen600A","RDO_perc_sat600A","RDO_part_Pressure600A","Pressure600A","Depth600A","Voltage_Ext600A","Battery_Int600A"
"TS","RN","","","","mmHg","C","uS/cm","uS/cm","PSU","ppt","g/cm3","ohm-cm","pH","mV","ORP- mV","mg/L","%Sat","Torr","PSI","cm","V","%"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-11-09 00:15:00",16934,313,"COMPASS_PTR_UP","713IN-SITU AT600V229 8",760.24,12.36,3606.7,4754.7,2.55,3.09,1.001,277.26,6.89,-6.6,119.9,0.84,8.03,11.8,1.526,126.54,11.299,66
"2022-11-09 00:30:00",16935,313,"COMPASS_PTR_UP","713IN-SITU AT600V229 8",760.37,12.36,3609.5,4758.5,2.55,3.09,1.001,277.04,6.89,-6.7,120.8,0.85,8.08,11.87,1.53,126.79,11.317,66
"2022-11-09 00:45:00",16936,313,"COMPASS_PTR_UP","713IN-SITU AT600V229 8",760.22,12.36,3613.5,4764,2.56,3.1,1.001,276.74,6.89,-6.8,116.2,0.82,7.78,11.44,1.528,126.63,11.29,66
"2022-11-09 01:00:00",16937,313,"COMPASS_PTR_UP","713IN-SITU AT600V229 8",760.14,12.36,3615.3,4766.1,2.56,3.1,1.001,276.6,6.89,-6.8,118.5,0.82,7.77,11.41,1.528,126.63,11.308,66
"2022-11-09 01:15:00",16938,313,"COMPASS_PTR_UP","713IN-SITU AT600V229 8",760.01,12.36,3617.6,4769.1,2.56,3.1,1.001,276.43,6.89,-6.9,119.5,0.82,7.81,11.47,1.526,126.52,11.308,66
"2022-11-09 01:30:00",16939,313,"COMPASS_PTR_UP","713IN-SITU AT600V229 8",759.8,12.36,3620.6,4773.2,2.56,3.1,1.001,276.2,6.89,-6.7,120.6,0.82,7.84,11.51,1.527,126.57,11.308,66
"2022-11-09 01:45:00",16940,313,"COMPASS_PTR_UP","713IN-SITU AT600V229 8",759.76,12.35,3627.4,4782.5,2.57,3.11,1.001,275.68,6.9,-7.1,115.9,0.79,7.5,11.01,1.53,126.83,11.29,66
"2022-11-09 02:00:00",16941,313,"COMPASS_PTR_UP","713IN-SITU AT600V229 8",759.68,12.36,3629.3,4784.6,2.57,3.11,1.001,275.53,6.9,-7.2,118.5,0.79,7.52,11.05,1.531,126.86,11.29,66
"2022-11-09 02:15:00",16942,313,"COMPASS_PTR_UP","713IN-SITU AT600V229 8",759.61,12.36,3632.7,4789.2,2.57,3.11,1.001,275.28,6.9,-7.3,119.8,0.79,7.56,11.1,1.53,126.81,11.29,66
"2022-11-09 02:30:00",16943,313,"COMPASS_PTR_UP","713IN-SITU AT600V229 8",759.41,12.36,3633.2,4789.6,2.57,3.11,1.001,275.24,6.9,-7.3,120.5,0.8,7.58,11.13,1.527,126.53,11.308,66
"2022-11-09 02:45:00",16944,313,"COMPASS_PTR_UP","713IN-SITU AT600V229 8",759.32,12.36,3638.7,4797.2,2.57,3.12,1.001,274.83,6.9,-7.4,115.7,0.77,7.29,10.7,1.531,126.87,11.29,66
"2022-11-09 03:00:00",16945,313,"COMPASS_PTR_UP","713IN-SITU AT600V229 8",759.29,12.36,3641,4800.1,2.58,3.12,1.001,274.65,6.9,-7.5,118.7,0.76,7.28,10.68,1.531,126.91,11.299,66
"2022-11-09 03:15:00",16946,313,"COMPASS_PTR_UP","713IN-SITU AT600V229 8",759.26,12.36,3643.4,4803.1,2.58,3.12,1.001,274.47,6.91,-7.6,120,0.77,7.29,10.71,1.531,126.87,11.29,66
